response time (ms), current time
121.339686, 2645000.488267
121.294028, 2650002.425042
121.295326, 2655011.874103
121.264465, 2660001.127267
121.245714, 2665006.115344
121.224231, 2670007.930118
121.174800, 2675006.260252
121.194534, 2680001.869019
121.126921, 2685000.663616
121.087159, 2690000.189594
121.048884, 2695000.658982
121.033835, 2700002.152452
121.098752, 2705000.807029
121.054448, 2710000.191009
121.002810, 2715007.259998
120.978972, 2720001.127645
120.963840, 2725002.662312
120.973039, 2730001.083829
120.921317, 2735000.262864
120.901109, 2740000.548062
120.903413, 2745000.694584
120.899631, 2750009.549920
120.984289, 2755003.247429
121.118277, 2760003.923243
121.104288, 2765007.528828
121.046699, 2770003.701058
121.039451, 2775000.211408
121.058002, 2780001.885195
121.088232, 2785003.179340
121.122115, 2790015.277948
121.086792, 2795001.227892
121.102741, 2800006.985085
121.143698, 2805000.152122
121.297683, 2810000.527044
121.331821, 2815006.467634
121.281062, 2820001.485089
121.282298, 2825000.895943
121.220110, 2830000.835364
121.175744, 2835001.549933
121.147459, 2840003.176214
121.091125, 2845002.291466
121.038179, 2850001.829361
120.993328, 2855000.798083
120.962796, 2860002.546161
120.909282, 2865000.277974
120.880993, 2870003.225679
120.883944, 2875003.239169
120.964842, 2880000.170037
120.950840, 2885002.356966
120.938480, 2890005.803404
120.913897, 2895000.830638
120.912086, 2900001.349517
120.889130, 2905001.190626
120.840923, 2910002.275255
120.810852, 2915003.784278
120.789385, 2920004.435700
120.789251, 2925003.967643
120.762427, 2930001.862478
120.725846, 2935006.256923
120.665617, 2940000.523318
120.790701, 2945000.763317
120.798592, 2950004.615284
120.761828, 2955010.174711
120.729784, 2960001.324976
120.755443, 2965001.415654
120.793761, 2970000.183848
120.951071, 2975002.148750
121.001716, 2980003.360725
120.974560, 2985002.720518
120.951081, 2990008.891897
120.911556, 2995005.644288
120.960376, 3000000.332129
121.044765, 3005001.407590
121.022301, 3010001.980631
121.004926, 3015007.159795
121.097252, 3020001.549531
121.090695, 3025002.861336
121.041452, 3030002.074735
121.037550, 3035001.295005
121.032354, 3040001.248231
120.984349, 3045000.015181
120.930665, 3050002.346442
120.896014, 3055008.597759
120.864338, 3060003.619227
120.831426, 3065001.916739
120.827172, 3070001.492584
120.808183, 3075000.474142
120.790062, 3080000.415798
120.748434, 3085001.923361
120.709673, 3090001.278435
120.709824, 3095001.761342
120.807115, 3100014.839015
121.060321, 3105001.883606
121.520276, 3110000.353746
121.511148, 3115004.436306
121.483847, 3120003.011889
121.482155, 3125000.822801
121.478506, 3130000.807227
121.523749, 3135001.535598
121.540236, 3140004.559318
121.510362, 3145002.987994
121.477466, 3150001.716553
121.427586, 3155000.371099
121.440529, 3160004.925226
121.397934, 3165001.335115
121.390697, 3170003.920069
121.396998, 3175006.593920
121.371370, 3180008.174900
121.366265, 3185001.074125
121.349982, 3190005.578563
121.323310, 3195003.410901
121.277938, 3200000.188161
121.397827, 3205002.499525
121.506765, 3210004.104166
121.609031, 3215003.837358
121.582158, 3220001.237737
121.551097, 3225003.570968
121.497320, 3230000.996117
121.446126, 3235000.663653
121.428317, 3240004.635775
121.403304, 3245002.543503
121.405374, 3250011.508298
121.380190, 3255006.651950
121.340768, 3260000.545284
121.308301, 3265000.142917
121.269312, 3270003.637206
121.224966, 3275005.177322
