response time (ms), current time 
181.179247 , 3599988.879513, 1687936434.000000
180.761526 , 3599978.997475, 1916014401.000000
183.348236 , 3599980.930059, 1724983846.000000
188.282151 , 3599964.997807, 2077291883.000000
188.373786 , 3599990.205843, 1983434926.000000
187.972335 , 3599977.672967, 2023473693.000000
186.075182 , 3599998.510666, 1321262487.000000
183.606568 , 3599986.583322, 1522866991.000000
188.823093 , 3599991.623388, 1146208005.000000
182.335129 , 3599982.204796, 1500839378.000000
185.864813 , 3599996.513934, 486056827.000000
182.185613 , 3599995.992548, 741919161.000000
188.702665 , 3599999.126565, 632560288.000000
184.354333 , 3599963.061260, 2097720517.000000
185.709682 , 3599971.051708, 1857735515.000000
186.658985 , 3599999.737834, 355234006.000000
191.330154 , 3599968.361496, 2095898595.000000
181.410133 , 3599981.955597, 1785899813.000000
189.616568 , 3599987.266530, 1765428971.000000
185.439830 , 3599986.319122, 1893807339.000000
182.737603 , 3599995.907932, 1322902206.000000
189.561594 , 3599984.858878, 1537125925.000000
182.711552 , 3599992.261082, 1591061829.000000
191.411786 , 3599982.532281, 1847356507.000000
190.768361 , 3599988.105210, 1816785610.000000
188.846098 , 3599973.964509, 1743179946.000000
187.123555 , 3599994.809019, 716702893.000000
187.126493 , 3599982.248046, 1575112187.000000
187.388194 , 3599998.344342, 884688692.000000
187.165738 , 3599992.906806, 1826043498.000000
184.732219 , 3599969.596423, 1879642257.000000
186.301535 , 3599999.358475, 1329240386.000000
186.999584 , 3599995.292532, 857326345.000000
189.359890 , 3599984.992769, 1799354864.000000
185.224367 , 3599975.791453, 1909576699.000000
185.449465 , 3599970.061540, 2019685653.000000
184.589404 , 3599988.133680, 1695280876.000000
189.459280 , 3599995.028594, 1805939800.000000
182.076704 , 3599983.924397, 2103403755.000000
186.888938 , 3599981.704062, 2059273728.000000
188.647661 , 3599993.897426, 1085925647.000000
187.089740 , 3599966.856513, 2073845112.000000
187.348498 , 3599973.667272, 2027635407.000000
187.415814 , 3599998.875577, 334849146.000000
192.144829 , 3599975.161850, 1842219492.000000
188.063364 , 3599960.080143, 2078162827.000000
186.712485 , 3599973.039944, 1779611463.000000
182.750130 , 3599985.680305, 1929548326.000000
