arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 165214.000000 , 165214.000000 , 0.000000 , 21.789846 , 56.084774 , 26.032523 , 30.052423 , 0.045893 , 0.033275 , 0.045893 , 0.734987 , 0.689597 , 0.000000 
 165388.000000 , 165388.000000 , 0.000000 , 21.766969 , 56.033792 , 26.037084 , 29.996708 , 0.045941 , 0.033337 , 0.045941 , 0.735391 , 0.689042 , 0.000000 
 165847.000000 , 165847.000000 , 0.000000 , 21.706752 , 55.758365 , 25.773948 , 29.984416 , 0.046069 , 0.033351 , 0.046069 , 0.736084 , 0.690670 , 0.000000 
 166251.000000 , 166251.000000 , 3.000000 , 21.654003 , 55.881659 , 25.915234 , 29.966900 , 0.046181 , 0.033370 , 0.046181 , 0.736246 , 0.691948 , 0.000000 
 165407.000000 , 165407.000000 , 0.000000 , 21.764426 , 55.255592 , 25.307780 , 29.947862 , 0.045947 , 0.033391 , 0.045947 , 0.735603 , 0.688000 , 0.000000 
 165830.000000 , 165830.000000 , 3.000000 , 21.708975 , 54.860442 , 25.011206 , 29.849414 , 0.046064 , 0.033501 , 0.046064 , 0.736247 , 0.687490 , 0.000000 
 165799.000000 , 165799.000000 , 0.000000 , 21.712974 , 55.350849 , 25.430938 , 29.920077 , 0.046055 , 0.033422 , 0.046055 , 0.735946 , 0.688991 , 0.000000 
 165109.000000 , 165109.000000 , 0.000000 , 21.803605 , 55.268476 , 25.238175 , 30.030342 , 0.045864 , 0.033300 , 0.045864 , 0.735914 , 0.688655 , 0.000000 
 165898.000000 , 165898.000000 , 6.000000 , 21.700041 , 55.976767 , 26.005039 , 29.972180 , 0.046083 , 0.033364 , 0.046083 , 0.736886 , 0.690602 , 0.000000 
 166081.000000 , 166081.000000 , 0.000000 , 21.676104 , 55.655627 , 25.711961 , 29.943671 , 0.046134 , 0.033396 , 0.046134 , 0.737175 , 0.690707 , 0.000000 
 164796.000000 , 164796.000000 , 0.000000 , 21.845182 , 55.015296 , 25.072614 , 29.942701 , 0.045777 , 0.033397 , 0.045777 , 0.735266 , 0.685339 , 0.000000 
 165153.000000 , 165153.000000 , 0.000000 , 21.797918 , 55.214560 , 25.215193 , 29.999868 , 0.045876 , 0.033333 , 0.045876 , 0.735340 , 0.688136 , 0.000000 
 166675.000000 , 166675.000000 , 1.000000 , 21.598902 , 57.811280 , 27.787468 , 30.024609 , 0.046299 , 0.033306 , 0.046299 , 0.739293 , 0.695049 , 0.000000 
 165411.000000 , 165411.000000 , 0.000000 , 21.763889 , 55.077996 , 25.072053 , 30.005943 , 0.045948 , 0.033327 , 0.045948 , 0.736318 , 0.689352 , 0.000000 
 166012.000000 , 166012.000000 , 2.000000 , 21.685089 , 55.142591 , 25.144229 , 29.998673 , 0.046115 , 0.033335 , 0.046115 , 0.735817 , 0.691689 , 0.000000 
 165672.000000 , 165672.000000 , 1.000000 , 21.729673 , 54.225426 , 24.331037 , 29.894510 , 0.046020 , 0.033451 , 0.046020 , 0.737530 , 0.687873 , 0.000000 
 165179.000000 , 165179.000000 , 0.000000 , 21.794321 , 55.674745 , 25.629080 , 30.045669 , 0.045884 , 0.033283 , 0.045884 , 0.736059 , 0.689300 , 0.000000 
