arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 89653.000000 , 89653.000000 , 0.000000 , 40.154756 , 52.648253 , 12.653834 , 39.994515 , 0.024904 , 0.025003 , 0.024904 , 0.398816 , 0.498005 , 0.000000 
 90017.000000 , 90017.000000 , 0.000000 , 39.992239 , 52.964917 , 13.096155 , 39.870936 , 0.025005 , 0.025081 , 0.025005 , 0.400872 , 0.498483 , 0.000000 
 89930.000000 , 89930.000000 , 1.000000 , 40.031042 , 52.168818 , 12.360091 , 39.809465 , 0.024981 , 0.025120 , 0.024981 , 0.399501 , 0.497232 , 0.000000 
 90074.000000 , 90074.000000 , 0.000000 , 39.967067 , 52.411643 , 12.315459 , 40.096184 , 0.025021 , 0.024940 , 0.025021 , 0.400192 , 0.501615 , 0.000000 
 89882.000000 , 89882.000000 , 0.000000 , 40.052430 , 52.763450 , 12.683898 , 40.079553 , 0.024967 , 0.024950 , 0.024967 , 0.399714 , 0.500339 , 0.000000 
 89586.000000 , 89586.000000 , 0.000000 , 40.184818 , 52.667931 , 12.505556 , 40.162602 , 0.024885 , 0.024899 , 0.024885 , 0.398126 , 0.499724 , 0.000000 
 89611.000000 , 89611.000000 , 0.000000 , 40.173555 , 52.084294 , 12.328894 , 39.755977 , 0.024892 , 0.025153 , 0.024892 , 0.399217 , 0.494803 , 0.000000 
 89427.000000 , 89427.000000 , 2.000000 , 40.255947 , 53.531468 , 13.250801 , 40.280891 , 0.024841 , 0.024826 , 0.024841 , 0.398198 , 0.500310 , 0.000000 
 89852.000000 , 89852.000000 , 0.000000 , 40.065809 , 52.567151 , 12.454221 , 40.112930 , 0.024959 , 0.024930 , 0.024959 , 0.399525 , 0.500588 , 0.000000 
 89754.000000 , 89754.000000 , 0.000000 , 40.109616 , 52.694719 , 12.478153 , 40.216566 , 0.024932 , 0.024865 , 0.024932 , 0.399130 , 0.501333 , 0.000000 
 90565.000000 , 90565.000000 , 0.000000 , 39.750131 , 52.611596 , 12.743254 , 39.868342 , 0.025157 , 0.025083 , 0.025157 , 0.399934 , 0.501487 , 0.000000 
 89496.000000 , 89496.000000 , 0.000000 , 40.225228 , 52.873707 , 12.688499 , 40.185374 , 0.024860 , 0.024885 , 0.024860 , 0.398648 , 0.499505 , 0.000000 
 89228.000000 , 89228.000000 , 0.000000 , 40.345881 , 52.970573 , 12.999600 , 39.970992 , 0.024786 , 0.025018 , 0.024786 , 0.397127 , 0.495354 , 0.000000 
 90374.000000 , 90374.000000 , 0.000000 , 39.833956 , 52.477499 , 12.609169 , 39.869042 , 0.025104 , 0.025082 , 0.025104 , 0.399885 , 0.500440 , 0.000000 
 90260.000000 , 90260.000000 , 0.000000 , 39.884739 , 53.375205 , 13.292210 , 40.083084 , 0.025072 , 0.024948 , 0.025072 , 0.400186 , 0.502486 , 0.000000 
 90290.000000 , 90290.000000 , 2.000000 , 39.871338 , 52.646081 , 12.713630 , 39.933066 , 0.025081 , 0.025042 , 0.025081 , 0.400751 , 0.500774 , 0.000000 
 89562.000000 , 89562.000000 , 0.000000 , 40.195426 , 52.997068 , 12.754007 , 40.243061 , 0.024878 , 0.024849 , 0.024878 , 0.398349 , 0.500593 , 0.000000 
 90258.000000 , 90258.000000 , 0.000000 , 39.885145 , 52.825560 , 12.714464 , 40.111097 , 0.025072 , 0.024931 , 0.025072 , 0.400927 , 0.502833 , 0.000000 
 89406.000000 , 89406.000000 , 0.000000 , 40.265652 , 52.445464 , 12.593507 , 39.851957 , 0.024835 , 0.025093 , 0.024835 , 0.397972 , 0.494863 , 0.000000 
 89752.000000 , 89752.000000 , 0.000000 , 40.110412 , 51.998053 , 12.054461 , 39.943593 , 0.024931 , 0.025035 , 0.024931 , 0.398955 , 0.497921 , 0.000000 
 89831.000000 , 89831.000000 , 0.000000 , 40.075235 , 53.006663 , 13.027849 , 39.978878 , 0.024953 , 0.025013 , 0.024953 , 0.399764 , 0.498798 , 0.000000 
