arr,r_arr,jq,inter,wait,delay,service,lambda_i,mu,throughut,visit,utilization
 209542.000000 , 209542.000000 , 0.000000 , 17.180300 , 38.023848 , 3.067779 , 34.956221 , 0.058206 , 0.028607 , 0.058206 , 0.932135 , 0.508667 , 0.000000 
 209223.000000 , 209223.000000 , 0.000000 , 17.206432 , 37.828803 , 2.942971 , 34.886584 , 0.058118 , 0.028664 , 0.058118 , 0.931731 , 0.506883 , 0.000000 
 209981.000000 , 209981.000000 , 1.000000 , 17.144368 , 38.113019 , 3.064065 , 35.049786 , 0.058328 , 0.028531 , 0.058328 , 0.932809 , 0.511098 , 0.000000 
 209726.000000 , 209726.000000 , 0.000000 , 17.165223 , 38.197003 , 3.099111 , 35.098272 , 0.058257 , 0.028491 , 0.058257 , 0.931797 , 0.511183 , 0.000000 
 209809.000000 , 209809.000000 , 0.000000 , 17.158427 , 37.970548 , 3.021341 , 34.949322 , 0.058280 , 0.028613 , 0.058280 , 0.933040 , 0.509215 , 0.000000 
 209849.000000 , 209849.000000 , 0.000000 , 17.155179 , 37.980346 , 2.985640 , 34.994865 , 0.058291 , 0.028576 , 0.058291 , 0.932583 , 0.509975 , 0.000000 
 209279.000000 , 209279.000000 , 0.000000 , 17.201881 , 38.304502 , 3.151811 , 35.152894 , 0.058133 , 0.028447 , 0.058133 , 0.932337 , 0.510887 , 0.000000 
 209367.000000 , 209367.000000 , 0.000000 , 17.194537 , 38.204724 , 3.124792 , 35.080172 , 0.058158 , 0.028506 , 0.058158 , 0.932264 , 0.510048 , 0.000000 
 209649.000000 , 209649.000000 , 0.000000 , 17.171525 , 37.988274 , 3.045106 , 34.943182 , 0.058236 , 0.028618 , 0.058236 , 0.932200 , 0.508737 , 0.000000 
 209722.000000 , 209722.000000 , 0.000000 , 17.165574 , 38.273752 , 3.122376 , 35.151598 , 0.058256 , 0.028448 , 0.058256 , 0.932620 , 0.511949 , 0.000000 
 210859.000000 , 210859.000000 , 0.000000 , 17.072881 , 37.959114 , 3.028663 , 34.931268 , 0.058572 , 0.028628 , 0.058572 , 0.931150 , 0.511502 , 0.000000 
 209182.000000 , 209182.000000 , 0.000000 , 17.209880 , 38.120010 , 3.054839 , 35.065421 , 0.058106 , 0.028518 , 0.058106 , 0.931773 , 0.509379 , 0.000000 
 209256.000000 , 209256.000000 , 0.000000 , 17.203723 , 37.875131 , 2.962989 , 34.912588 , 0.058127 , 0.028643 , 0.058127 , 0.931335 , 0.507341 , 0.000000 
 210780.000000 , 210780.000000 , 0.000000 , 17.079201 , 38.183509 , 3.129537 , 35.054316 , 0.058551 , 0.028527 , 0.058551 , 0.932655 , 0.513114 , 0.000000 
 210140.000000 , 210140.000000 , 2.000000 , 17.131420 , 37.951022 , 3.008111 , 34.943876 , 0.058372 , 0.028617 , 0.058372 , 0.931699 , 0.509938 , 0.000000 
 209863.000000 , 209863.000000 , 0.000000 , 17.153968 , 38.187659 , 3.089415 , 35.098823 , 0.058296 , 0.028491 , 0.058296 , 0.931474 , 0.511526 , 0.000000 
 209633.000000 , 209633.000000 , 0.000000 , 17.172787 , 37.903195 , 2.962007 , 34.941211 , 0.058232 , 0.028620 , 0.058232 , 0.932394 , 0.508671 , 0.000000 
 209765.000000 , 209765.000000 , 0.000000 , 17.161840 , 38.109780 , 3.055629 , 35.054186 , 0.058269 , 0.028527 , 0.058269 , 0.931780 , 0.510641 , 0.000000 
 209366.000000 , 209366.000000 , 0.000000 , 17.194725 , 37.974175 , 2.996764 , 34.977500 , 0.058157 , 0.028590 , 0.058157 , 0.931949 , 0.508550 , 0.000000 
 209643.000000 , 209643.000000 , 0.000000 , 17.172000 , 37.987477 , 3.023959 , 34.963869 , 0.058234 , 0.028601 , 0.058234 , 0.931879 , 0.509024 , 0.000000 
 209548.000000 , 209548.000000 , 0.000000 , 17.179827 , 37.957970 , 3.023046 , 34.935445 , 0.058208 , 0.028624 , 0.058208 , 0.932526 , 0.508379 , 0.000000 
