response time (ms), current time, seed 
115.535735 , 3599995.469635, 1939681364.000000
116.004301 , 3599931.567499, 2123004376.000000
115.917901 , 3599993.848928, 1045621038.000000
115.475343 , 3599995.742696, 1593490027.000000
115.162338 , 3599969.041054, 1988050460.000000
115.349947 , 3599999.931010, 1850353975.000000
115.721620 , 3599998.469335, 1006268211.000000
115.511389 , 3599987.621700, 1226078068.000000
115.943121 , 3599970.369149, 2012924871.000000
115.609169 , 3599989.758739, 1505609345.000000
115.665332 , 3599964.763950, 2027435861.000000
115.593556 , 3599991.456610, 2069823067.000000
115.441098 , 3599992.846424, 1875377951.000000
115.966370 , 3599986.507707, 1519681519.000000
115.780857 , 3599989.698650, 1146204253.000000
115.581563 , 3599989.608597, 1657582989.000000
