batch, block, delay
0 , 0 , 4.278265 
1 , 0 , 4.547006 
2 , 0 , 4.438283 
3 , 0 , 3.781863 
4 , 0 , 4.843140 
5 , 0 , 4.506181 
6 , 0 , 5.124915 
7 , 0 , 4.066706 
8 , 0 , 3.688466 
9 , 0 , 3.367583 
10 , 0 , 4.712425 
11 , 0 , 4.631874 
12 , 0 , 4.246266 
13 , 0 , 4.383811 
14 , 0 , 4.501269 
15 , 0 , 4.146391 
16 , 0 , 3.740612 
17 , 0 , 4.862302 
18 , 0 , 3.593861 
19 , 0 , 4.454754 
20 , 0 , 4.175608 
21 , 0 , 4.580991 
22 , 0 , 3.383664 
23 , 0 , 3.687988 
24 , 0 , 3.397195 
25 , 0 , 3.707925 
26 , 0 , 3.687119 
27 , 0 , 4.829705 
28 , 0 , 3.776122 
29 , 0 , 4.301827 
30 , 0 , 4.180643 
31 , 0 , 3.703850 
32 , 0 , 3.792552 
33 , 0 , 4.615487 
34 , 0 , 4.143178 
35 , 0 , 3.775855 
36 , 0 , 3.779555 
37 , 0 , 4.721343 
38 , 0 , 4.730634 
39 , 0 , 4.527566 
40 , 0 , 4.365786 
41 , 0 , 4.026335 
42 , 0 , 3.907849 
43 , 0 , 4.227782 
44 , 0 , 3.465249 
45 , 0 , 4.404669 
46 , 0 , 3.997059 
47 , 0 , 4.635506 
48 , 0 , 4.960645 
49 , 0 , 4.523921 
50 , 0 , 4.250823 
51 , 0 , 4.395779 
52 , 0 , 4.419513 
53 , 0 , 5.319640 
54 , 0 , 3.904002 
55 , 0 , 3.638277 
56 , 0 , 5.787636 
57 , 0 , 4.840406 
58 , 0 , 3.520969 
59 , 0 , 4.396513 
60 , 0 , 4.389217 
61 , 0 , 4.477998 
62 , 0 , 4.498297 
63 , 0 , 4.711085 
64 , 0 , 4.253077 
65 , 0 , 4.506745 
66 , 0 , 4.397371 
67 , 0 , 4.959469 
68 , 0 , 3.392500 
69 , 0 , 4.070608 
70 , 0 , 4.667912 
71 , 0 , 4.113501 
72 , 0 , 4.346104 
73 , 0 , 3.814993 
74 , 0 , 4.776624 
75 , 0 , 3.834734 
76 , 0 , 3.722647 
77 , 0 , 4.068881 
78 , 0 , 4.672868 
79 , 0 , 3.461520 
80 , 0 , 4.735801 
81 , 0 , 4.473174 
82 , 0 , 4.568592 
83 , 0 , 3.790204 
84 , 0 , 4.629716 
85 , 0 , 4.038284 
86 , 0 , 4.590345 
87 , 0 , 3.857617 
88 , 0 , 4.437336 
89 , 0 , 4.144501 
90 , 0 , 3.769202 
91 , 0 , 4.448321 
92 , 0 , 4.354375 
93 , 0 , 4.314708 
94 , 0 , 3.742258 
95 , 0 , 3.821311 
96 , 0 , 3.974555 
97 , 0 , 3.980209 
98 , 0 , 3.996451 
99 , 0 , 4.351497 
100 , 0 , 4.783008 
101 , 0 , 4.208274 
102 , 0 , 4.254566 
103 , 0 , 3.862062 
104 , 0 , 3.909636 
105 , 0 , 4.196332 
106 , 0 , 4.064302 
107 , 0 , 3.985393 
108 , 0 , 4.561865 
109 , 0 , 4.453009 
110 , 0 , 3.699083 
111 , 0 , 4.179590 
112 , 0 , 3.358511 
113 , 0 , 3.922070 
114 , 0 , 4.443284 
115 , 0 , 4.377961 
116 , 0 , 3.957447 
117 , 0 , 4.528875 
118 , 0 , 4.172177 
119 , 0 , 4.007754 
120 , 0 , 4.027068 
121 , 0 , 4.735596 
122 , 0 , 4.246912 
123 , 0 , 4.140831 
124 , 0 , 4.810863 
125 , 0 , 4.287837 
126 , 0 , 4.630090 
127 , 0 , 3.769120 
