batch, block, wait
99 , 2 , 119.838569 
100 , 2 , 117.713336 
101 , 2 , 122.001554 
102 , 2 , 116.765824 
103 , 2 , 109.327754 
104 , 2 , 111.536115 
105 , 2 , 120.803127 
106 , 2 , 119.992568 
107 , 2 , 118.293181 
108 , 2 , 115.748602 
109 , 2 , 127.098956 
110 , 2 , 133.881255 
111 , 2 , 113.070502 
112 , 2 , 110.881675 
113 , 2 , 120.790875 
114 , 2 , 121.071762 
115 , 2 , 123.545535 
116 , 2 , 113.050154 
117 , 2 , 126.718565 
118 , 2 , 122.407480 
119 , 2 , 128.735387 
120 , 2 , 108.198312 
121 , 2 , 127.037345 
122 , 2 , 109.400826 
123 , 2 , 129.495771 
124 , 2 , 127.113618 
125 , 2 , 115.969328 
126 , 2 , 100.294130 
127 , 2 , 114.047660 
