batch, block, wait
0 , 3 , 38.383646 
1 , 3 , 38.484840 
2 , 3 , 38.647363 
3 , 3 , 38.342867 
4 , 3 , 37.774677 
5 , 3 , 37.970200 
6 , 3 , 38.348953 
7 , 3 , 38.087788 
8 , 3 , 37.697272 
9 , 3 , 37.665235 
10 , 3 , 38.412169 
11 , 3 , 38.199863 
12 , 3 , 38.109107 
13 , 3 , 39.510229 
14 , 3 , 38.157662 
15 , 3 , 38.853860 
16 , 3 , 38.384096 
17 , 3 , 39.051548 
18 , 3 , 38.627449 
19 , 3 , 37.875532 
20 , 3 , 38.880225 
21 , 3 , 38.744214 
22 , 3 , 38.454188 
23 , 3 , 37.630960 
24 , 3 , 36.834600 
25 , 3 , 38.353347 
26 , 3 , 37.447553 
27 , 3 , 37.021783 
28 , 3 , 38.118537 
29 , 3 , 38.591262 
30 , 3 , 39.029387 
31 , 3 , 40.176624 
32 , 3 , 37.480183 
33 , 3 , 39.653510 
34 , 3 , 37.953917 
35 , 3 , 38.238631 
36 , 3 , 38.484037 
37 , 3 , 37.908491 
38 , 3 , 38.513272 
39 , 3 , 36.612084 
40 , 3 , 37.693542 
41 , 3 , 39.611625 
42 , 3 , 36.183851 
43 , 3 , 38.897924 
44 , 3 , 37.201771 
45 , 3 , 37.205037 
46 , 3 , 38.643521 
47 , 3 , 38.072266 
48 , 3 , 38.866902 
49 , 3 , 37.495597 
50 , 3 , 38.863164 
51 , 3 , 38.057545 
52 , 3 , 38.448378 
53 , 3 , 38.185017 
54 , 3 , 38.346181 
55 , 3 , 38.187019 
56 , 3 , 38.539965 
57 , 3 , 38.212141 
58 , 3 , 37.675344 
59 , 3 , 37.295255 
60 , 3 , 37.579589 
61 , 3 , 39.566748 
62 , 3 , 39.302689 
63 , 3 , 39.684675 
64 , 3 , 38.911057 
65 , 3 , 37.250895 
66 , 3 , 39.121012 
67 , 3 , 39.207629 
68 , 3 , 38.150659 
69 , 3 , 38.143235 
70 , 3 , 38.043749 
71 , 3 , 37.947244 
72 , 3 , 37.936808 
73 , 3 , 38.867426 
74 , 3 , 36.992246 
75 , 3 , 37.733878 
76 , 3 , 38.772811 
77 , 3 , 37.674285 
78 , 3 , 37.421835 
79 , 3 , 39.022341 
80 , 3 , 37.031941 
81 , 3 , 38.211115 
82 , 3 , 37.893058 
83 , 3 , 38.061773 
84 , 3 , 37.581376 
85 , 3 , 38.247294 
86 , 3 , 38.255671 
87 , 3 , 37.968249 
88 , 3 , 37.820728 
89 , 3 , 37.550730 
90 , 3 , 38.416433 
91 , 3 , 39.437382 
92 , 3 , 39.315631 
93 , 3 , 37.565786 
94 , 3 , 39.277130 
95 , 3 , 37.452143 
96 , 3 , 38.415202 
97 , 3 , 37.810925 
98 , 3 , 38.087270 
99 , 3 , 38.687155 
100 , 3 , 39.328592 
101 , 3 , 38.612595 
102 , 3 , 38.143298 
103 , 3 , 38.758884 
104 , 3 , 37.084009 
105 , 3 , 36.534023 
106 , 3 , 37.705668 
107 , 3 , 37.403087 
108 , 3 , 38.827270 
109 , 3 , 38.334185 
110 , 3 , 37.525900 
111 , 3 , 37.460977 
112 , 3 , 39.395530 
113 , 3 , 37.093234 
114 , 3 , 38.768263 
115 , 3 , 38.262167 
116 , 3 , 37.870883 
117 , 3 , 38.525684 
118 , 3 , 38.913614 
119 , 3 , 37.521609 
120 , 3 , 38.800517 
121 , 3 , 37.132076 
122 , 3 , 37.443958 
123 , 3 , 38.003270 
124 , 3 , 39.853848 
125 , 3 , 39.013722 
126 , 3 , 37.683162 
127 , 3 , 39.122055 
