response time, clock , seed
131.584887 , 20546.181244, 349117904.000000
127.552596 , 19204.532195, 1368161378.000000
122.963950 , 20770.710459, 1931406159.000000
143.034216 , 20918.646882, 1903770595.000000
117.921148 , 20777.576228, 208695147.000000
125.347395 , 20487.304073, 6956062.000000
123.587492 , 20605.515117, 477646385.000000
127.317542 , 20021.871789, 276918734.000000
132.631216 , 19793.483280, 435633041.000000
124.254799 , 20484.166417, 783650798.000000
121.345233 , 20306.625080, 906852894.000000
124.337023 , 21906.604398, 111384641.000000
124.510660 , 20532.243422, 12155423.000000
117.992532 , 20888.251884, 1132807445.000000
133.149056 , 21431.687903, 1122430608.000000
124.924163 , 20725.402870, 136578603.000000
124.050484 , 19891.904784, 462467071.000000
119.810172 , 20735.169913, 628971121.000000
125.498567 , 21420.665482, 1342744558.000000
132.119546 , 21236.499125, 892212310.000000
130.144650 , 20965.278802, 1126636316.000000
122.820339 , 21124.311873, 1483584868.000000
126.392929 , 20453.897409, 393620801.000000
130.142542 , 20124.220994, 528028386.000000
123.572373 , 21858.898463, 94079258.000000
119.859777 , 20919.979268, 669918741.000000
125.973297 , 19914.031426, 473639434.000000
125.229604 , 20525.307933, 2019411914.000000
135.765206 , 20561.889913, 747106216.000000
122.436783 , 21182.257471, 1886234667.000000
120.077106 , 21248.760727, 1964722413.000000
124.839393 , 20718.157316, 1384559385.000000
118.187002 , 21023.865949, 1079120503.000000
126.238938 , 21001.430153, 87569451.000000
127.657613 , 20881.215178, 1105038057.000000
129.511088 , 20819.974799, 1651484.000000
122.281794 , 20852.546117, 110448804.000000
121.565066 , 20723.495468, 1610477709.000000
132.042008 , 20469.331346, 760940844.000000
117.178360 , 20924.675156, 1859803363.000000
125.153546 , 20243.110161, 1958249970.000000
113.683526 , 20793.044105, 1529262891.000000
129.013074 , 20490.927352, 2052984323.000000
123.864695 , 21036.730815, 621954924.000000
126.598184 , 21090.809984, 1490122970.000000
117.916552 , 21063.641802, 1459153869.000000
127.436963 , 20864.275323, 1119861221.000000
123.909045 , 20480.547909, 1776956704.000000
126.252134 , 20680.263738, 1662908144.000000
116.848460 , 20760.835646, 2010661817.000000
125.657927 , 20952.088656, 27489702.000000
121.863804 , 21557.653240, 819034767.000000
131.908460 , 20353.062262, 685670397.000000
130.458524 , 20423.352617, 730035712.000000
127.268074 , 20013.360594, 2003509261.000000
126.562214 , 21215.045962, 972986773.000000
133.987018 , 20377.583092, 909127930.000000
124.596660 , 21283.085503, 1065672929.000000
120.217701 , 20454.044906, 1043130779.000000
126.446776 , 21281.415338, 1392754085.000000
125.137281 , 19891.086458, 233837470.000000
131.193888 , 20121.259063, 416001681.000000
129.796330 , 21201.858123, 1856112639.000000
122.214165 , 21540.676023, 412616444.000000
126.448257 , 20563.243746, 1466559320.000000
139.627584 , 20963.725816, 407808869.000000
126.215582 , 21700.883492, 1197261349.000000
122.171869 , 21690.463852, 1172429588.000000
113.822521 , 19662.040112, 533818912.000000
134.250450 , 20597.287236, 617312703.000000
129.086300 , 20274.817348, 818244912.000000
124.688677 , 21229.376456, 1188021952.000000
122.629427 , 20189.703165, 1172891328.000000
131.567535 , 20189.654320, 1276525836.000000
119.859701 , 21174.798837, 629971503.000000
117.267175 , 21938.759140, 445767965.000000
117.475983 , 20996.426440, 1354635399.000000
129.952782 , 21243.851918, 884114214.000000
121.173750 , 19908.898480, 1139320140.000000
127.840537 , 20780.530776, 359063406.000000
118.471306 , 20299.435910, 591573226.000000
114.753289 , 21626.687150, 805574310.000000
121.992227 , 20712.186367, 1777587350.000000
130.967497 , 19947.143414, 1769368609.000000
127.221064 , 21304.222298, 1409330885.000000
126.196017 , 21246.763539, 1163363902.000000
124.340103 , 21099.153644, 1867358081.000000
127.326561 , 21319.159764, 1328103937.000000
131.487178 , 20815.835924, 863754392.000000
122.166340 , 21103.525208, 915931023.000000
128.382078 , 20801.796499, 130999246.000000
123.768237 , 21384.217694, 1255930986.000000
124.914307 , 22253.797624, 151095154.000000
119.566702 , 20999.161085, 412520186.000000
128.719680 , 20638.790422, 1897164979.000000
115.126849 , 20914.754137, 1809688881.000000
128.170878 , 20365.954516, 11351569.000000
128.485315 , 19169.664948, 202344369.000000
119.211735 , 20754.928939, 2135521829.000000
128.357898 , 20703.082459, 1442543206.000000
120.537837 , 21012.489461, 447220171.000000
121.157427 , 21687.552799, 125376415.000000
120.927877 , 20810.747177, 1957717927.000000
121.193062 , 20870.237645, 672759773.000000
118.955684 , 20645.219126, 1171116090.000000
112.518935 , 20560.177664, 1244779963.000000
123.934122 , 21813.998670, 1943932431.000000
137.639606 , 20444.616256, 235719733.000000
125.158030 , 20656.622559, 607254996.000000
132.162699 , 20928.086380, 799813769.000000
123.779804 , 20963.332501, 373403122.000000
131.505896 , 20083.322221, 1506469242.000000
126.799671 , 19784.084292, 234026958.000000
125.498918 , 21412.427815, 995278140.000000
123.373026 , 20510.905467, 532801053.000000
123.851358 , 20149.214871, 148603849.000000
132.167647 , 20686.801034, 428921826.000000
122.609708 , 21476.961090, 805186364.000000
123.331795 , 20782.944828, 1514184011.000000
120.117520 , 20275.420237, 406794581.000000
125.372537 , 20154.504334, 763680042.000000
139.977683 , 20274.680601, 279110334.000000
131.144079 , 20991.729394, 2033980478.000000
138.270406 , 20423.741835, 782884581.000000
119.550648 , 20693.348423, 1743869208.000000
132.652961 , 20154.444584, 1581441436.000000
124.268148 , 21124.999042, 1431094282.000000
114.591259 , 20891.724817, 1234678017.000000
