response time, clock , seed
337.523036 , 1914776.012286, 65803776.000000
317.219122 , 1920434.357590, 445418366.000000
357.777459 , 1916083.838569, 987010249.000000
341.656817 , 1924238.559182, 1811186991.000000
376.175383 , 1910574.422925, 1412379821.000000
352.168858 , 1929714.411219, 1936286050.000000
337.099358 , 1918889.501141, 379850668.000000
328.738706 , 1928171.435074, 702829951.000000
377.845864 , 1914075.504202, 342671796.000000
334.427994 , 1927353.846353, 1406663782.000000
340.698065 , 1925753.617005, 1315666267.000000
364.943750 , 1917612.636562, 2051305947.000000
337.508305 , 1924404.297766, 2004841432.000000
324.877247 , 1915603.378567, 1611268030.000000
349.648916 , 1929628.282926, 143071415.000000
372.583565 , 1917461.258715, 1250676698.000000
342.166051 , 1921198.766422, 534996768.000000
332.932321 , 1931734.880894, 44680242.000000
300.448826 , 1923733.487825, 513440255.000000
327.779974 , 1917333.368139, 1984230277.000000
384.366458 , 1913748.982942, 1356711115.000000
372.728472 , 1929589.893008, 657710314.000000
357.251688 , 1919838.001162, 380105181.000000
338.219940 , 1927676.552498, 833821995.000000
387.809338 , 1921573.064183, 87134579.000000
342.439698 , 1918345.913897, 920189451.000000
400.609417 , 1918065.735625, 783754615.000000
366.204440 , 1920473.278286, 1733752338.000000
328.414990 , 1931564.478964, 625736050.000000
360.416188 , 1913805.738250, 1034501972.000000
335.957386 , 1924680.470901, 1092209028.000000
341.491658 , 1922037.778363, 725703391.000000
328.817889 , 1923346.577642, 1528217673.000000
364.763623 , 1918444.475645, 1594480391.000000
386.788676 , 1919536.675266, 1036322405.000000
373.139498 , 1921901.824385, 1821503307.000000
366.582089 , 1915976.836692, 1887653232.000000
343.660277 , 1927232.547318, 1442785585.000000
357.183604 , 1920314.916077, 369927324.000000
368.842251 , 1918914.595630, 1915828012.000000
350.032590 , 1916935.462161, 810034387.000000
327.821867 , 1920100.252863, 1452029018.000000
390.804268 , 1916685.700714, 1057329110.000000
371.192503 , 1916226.680492, 174051052.000000
416.696293 , 1908137.171664, 338243929.000000
363.033545 , 1914175.533491, 437121865.000000
375.461662 , 1916567.364596, 106953498.000000
316.768391 , 1937053.087652, 1024145326.000000
317.539927 , 1928174.292184, 708102911.000000
370.530978 , 1918750.038407, 833312973.000000
354.890379 , 1916468.232721, 1445452879.000000
352.135915 , 1913772.024015, 1178825761.000000
354.434560 , 1917847.862620, 1272634935.000000
369.049775 , 1930113.040328, 990480549.000000
341.886946 , 1916730.501245, 548151475.000000
337.384915 , 1923547.482042, 629356389.000000
331.716026 , 1923854.156379, 1725959332.000000
341.413673 , 1916539.729201, 1228939834.000000
327.020536 , 1928586.885640, 1309216916.000000
349.648432 , 1917263.144259, 1217595281.000000
336.775055 , 1919423.876203, 546213644.000000
397.635890 , 1903984.564541, 996319943.000000
356.694985 , 1912303.241706, 799954249.000000
319.818531 , 1919847.295225, 1962152379.000000
336.516988 , 1924499.341421, 1456380182.000000
378.481030 , 1923468.016812, 480237666.000000
348.971083 , 1920869.537516, 1859576003.000000
343.163706 , 1929853.708478, 514803779.000000
371.792154 , 1912806.219520, 2060451077.000000
347.004377 , 1927605.020561, 367298015.000000
334.952912 , 1918240.545263, 818735198.000000
321.586516 , 1930363.951948, 1111870348.000000
328.938476 , 1924250.196539, 320307456.000000
357.698544 , 1919666.858389, 972269421.000000
339.576486 , 1919062.874595, 1717306771.000000
364.530317 , 1923779.876998, 1028775962.000000
314.443214 , 1924750.552852, 599246210.000000
336.818868 , 1910665.763964, 1596076961.000000
344.206507 , 1924508.367914, 417020835.000000
339.750012 , 1927603.535076, 1616553566.000000
339.387008 , 1934451.613012, 1534342892.000000
340.035902 , 1921297.598481, 884008866.000000
365.220404 , 1915640.392400, 996630641.000000
